symbol,window,omega,im_g_hat,fdt_rhs,delta_hat
AAPL,Open,0.34906585,3e-08,1e-08,2e-08
AAPL,Open,0.41887902,1e-08,1e-08,-1e-08
AAPL,Open,0.48869219,1e-08,2e-08,-1e-08
AAPL,Open,0.55850536,4e-08,3e-08,1e-08
AAPL,Open,0.62831853,4e-08,4e-08,0.0
AAPL,Open,0.6981317,5e-08,5e-08,-0.0
AAPL,Open,0.76794487,6e-08,5e-08,1e-08
AAPL,Open,0.83775804,7e-08,5e-08,1e-08
AAPL,Open,0.90757121,5e-08,5e-08,-0.0
AAPL,Open,0.97738438,5e-08,6e-08,-1e-08
AAPL,Midday,0.10471976,3e-08,0.0,2e-08
AAPL,Midday,0.13962634,3e-08,1e-08,2e-08
AAPL,Midday,0.17453293,2e-08,1e-08,2e-08
AAPL,Midday,0.20943951,2e-08,1e-08,1e-08
AAPL,Midday,0.2443461,3e-08,1e-08,2e-08
AAPL,Midday,0.27925268,2e-08,1e-08,1e-08
AAPL,Midday,0.31415927,1e-08,1e-08,0.0
AAPL,Midday,0.34906585,1e-08,1e-08,0.0
AAPL,Midday,0.38397244,1e-08,1e-08,-0.0
AAPL,Midday,0.41887902,1e-08,2e-08,-1e-08
AAPL,Midday,0.45378561,2e-08,2e-08,0.0
AAPL,Midday,0.48869219,1e-08,2e-08,-1e-08
AAPL,Midday,0.52359878,1e-08,3e-08,-2e-08
AAPL,Midday,0.55850536,4e-08,3e-08,0.0
AAPL,Midday,0.59341195,4e-08,3e-08,1e-08
AAPL,Midday,0.62831853,5e-08,3e-08,2e-08
AAPL,Midday,0.66322512,3e-08,3e-08,-0.0
AAPL,Midday,0.6981317,1e-08,3e-08,-2e-08
AAPL,Midday,0.76794487,1e-08,6e-08,-5e-08
AAPL,Midday,0.90757121,2e-08,9e-08,-8e-08
AAPL,Midday,0.9424778,3e-08,1e-07,-7e-08
AAPL,Midday,0.97738438,4e-08,6e-08,-2e-08
AAPL,Midday,1.01229097,3e-08,6e-08,-2e-08
AAPL,Close,0.21179276,3e-08,0.0,3e-08
AAPL,Close,0.28239035,2e-08,1e-08,1e-08
AAPL,Close,0.35298794,2e-08,1e-08,0.0
AAPL,Close,0.42358553,2e-08,2e-08,0.0
AAPL,Close,0.49418311,1e-08,2e-08,-1e-08
AAPL,Close,0.5647807,2e-08,2e-08,-1e-08
AAPL,Close,0.63537829,1e-08,2e-08,-1e-08
AAPL,Close,0.70597588,2e-08,2e-08,0.0
AAPL,Close,0.77657346,1e-08,1e-08,-0.0
