symbol,time_sec,theta_hat,deviation_ratio,reject_5pct
AAPL,36960.0,4.074109,0.2158,0
AAPL,37860.0,1.784823,0.7009,0
AAPL,38760.0,2.729734,0.5195,0
AAPL,39660.0,2.173798,0.7192,0
AAPL,40560.0,1.128896,1.5857,1
AAPL,41460.0,1.554124,0.7048,0
AAPL,42360.0,1.59708,0.5876,0
AAPL,43260.0,1.320813,0.5385,0
AAPL,44160.0,1.604708,0.8989,0
AAPL,45060.0,1.074873,0.6668,0
AAPL,45960.0,1.356491,0.9485,0
AAPL,46860.0,0.90331,0.7629,0
AAPL,47760.0,0.261433,2.1302,1
AAPL,48660.0,0.550018,0.9446,0
AAPL,49560.0,1.16499,0.5488,0
AAPL,50460.0,1.900059,0.4861,0
AAPL,51360.0,3.738091,0.6505,0
AAPL,52260.0,1.508418,0.513,0
AAPL,53160.0,3.913419,0.5261,0
AAPL,54060.0,4.615632,0.2699,0
